HappinessScore,Freedom
7.537000179,0.635422587
7.521999836,0.626006722
7.504000187,0.627162635
7.493999958,0.620070577
7.468999863,0.617950857
7.376999855,0.585384488
7.315999985,0.611100912
7.31400013,0.61406213
7.28399992,0.612924099
7.28399992,0.601607382
7.212999821,0.405988604
7.078999996,0.58013165
7.006000042,0.56776619
6.993000031,0.505740523
6.977000237,0.573110342
6.951000214,0.562511384
6.890999794,0.539770722
6.862999916,0.596627891
6.714000225,0.508190036
6.65199995,0.376895279
6.647999763,0.60834527
6.635000229,0.437453747
6.609000206,0.490946174
6.598999977,0.494519204
6.578000069,0.412730008
6.572000027,0.549840569
6.52699995,0.588767052
6.453999996,0.579392254
6.453999996,0.531310618
6.452000141,0.550026834
6.441999912,0.470222116
6.423999786,0.580200732
6.421999931,0.361466587
6.402999878,0.40878123
6.375,0.604130983
6.356999874,0.477487415
6.343999863,0.449750572
6.168000221,0.518630743
6.105000019,0.496337593
6.09800005,0.295817465
6.086999893,0.536746919
6.084000111,0.402264982
6.071000099,0.447551847
6.007999897,0.455198199
6.002999783,0.43245253
5.97300005,0.520342112
5.971000195,0.658248663
5.964000225,0.256450713
5.962999821,0.373783112
5.955999851,0.547509372
5.920000076,0.505625546
5.90199995,0.234231785
5.872000217,0.233335808
5.849999905,0.325707912
5.837999821,0.257921666
5.837999821,0.240729049
5.824999809,0.457003742
5.822999954,0.558732927
5.822000027,0.418271929
5.818999767,0.437454283
5.809999943,0.471203625
5.757999897,0.572575808
5.715000153,0.450002879
5.629000187,0.491247326
5.620999813,0.355111539
5.611000061,0.47913143
5.568999767,0.295400262
5.525000095,0.46573323
5.5,0.3007406
5.493000031,0.473507792
5.472000122,0.490968645
5.429999828,0.585214674
5.394999981,0.208715528
5.335999966,0.418421149
5.323999882,0.175863519
5.31099987,0.474307239
5.293000221,0.255772293
5.278999805,0.260287941
5.272999763,0.472787708
5.269000053,0.235215262
5.262000084,0.443323463
5.25,0.153997123
5.236999989,0.194989055
5.235000134,0.408158332
5.234000206,0.398155838
5.230000019,0.552589834
5.227000237,0.095731251
5.224999905,0.288515985
5.195000172,0.4984653
5.18200016,0.204403177
5.181000233,0.34807986
5.175000191,0.325905979
5.151000023,0.602126956
5.073999882,0.571055591
5.073999882,0.394952565
5.040999889,0.471566707
5.011000156,0.501537681
5.004000187,0.454943389
4.961999893,0.440305948
4.954999924,0.394143969
4.828999996,0.479246736
4.804999828,0.28968069
4.775000095,0.254711062
4.735000134,0.282110155
4.714000225,0.289231718
4.709000111,0.318697691
4.695000172,0.430388749
4.691999912,0.249322608
4.644000053,0.381498635
4.607999802,0.478356659
4.573999882,0.520303547
4.552999973,0.452763766
4.550000191,0.480791092
4.545000076,0.514492035
4.534999847,0.377922267
4.513999939,0.461603492
4.497000217,0.288555533
4.465000153,0.312328577
4.460000038,0.408842742
4.440000057,0.561213255
4.375999928,0.198303267
4.315000057,0.469987005
4.291999817,0.096098043
4.290999889,0.435025871
4.285999775,0.309410036
4.28000021,0.235961348
4.190000057,0.306613743
4.179999828,0.447706193
4.168000221,0.633375823
4.138999939,0.014995855
4.119999886,0.423026294
4.096000195,0.122974776
4.080999851,0.443185955
4.032000065,0.324367851
4.027999878,0.363658696
3.970000029,0.466914654
3.936000109,0.162342027
3.875,0.336384207
3.808000088,0.390661299
3.795000076,0
3.79399991,0.10617952
3.766000032,0.505196333
3.657000065,0.425962776
3.644000053,0.189196765
3.602999926,0.030369857
3.592999935,0.249463722
3.59100008,0.147062436
3.532999992,0.332881182
3.506999969,0.348587513
3.494999886,0.380426139
3.470999956,0.581843853
3.461999893,0.081539445
3.348999977,0.390017778
2.904999971,0.059900753
2.693000078,0.270842046
7.526,0.57941
7.509,0.58557
7.501,0.56624
7.498,0.59609
7.413,0.57104
7.404,0.5737
7.339,0.55211
7.334,0.58147
7.313,0.56837
7.291,0.58218
7.267,0.36432
7.119,0.54355
7.104,0.48163
7.087,0.55225
7.039,0.46823
6.994,0.53466
6.952,0.40425
6.929,0.51354
6.907,0.54008
6.871,0.5487
6.778,0.37709
6.739,0.4877
6.725,0.50036
6.705,0.37789
6.701,0.48927
6.65,0.42284
6.596,0.41418
6.573,0.56215
6.545,0.54388
6.488,0.54994
6.481,0.44735
6.478,0.46562
6.474,0.49553
6.379,0.37904
6.379,0.32377
6.375,0.56679
6.361,0.37545
6.355,0.21006
6.324,0.50379
6.269,0.52234
6.239,0.43166
6.218,0.47375
6.168,0.48453
6.084,0.19847
6.078,0.23391
6.068,0.37269
6.005,0.39031
5.992,0.46582
5.987,0.60848
5.977,0.18827
5.976,0.4027
5.956,0.51231
5.921,0.46761
5.919,0.4052
5.897,0.25202
5.856,0.32682
5.835,0.4519
5.835,0.25168
5.822,0.50961
5.813,0.18929
5.802,0.29091
5.771,0.43596
5.768,0.53164
5.743,0.37502
5.658,0.37408
5.648,0.46145
5.615,0.40672
5.56,0.27996
5.546,0.29507
5.538,0.46235
5.528,0.36712
5.517,0.41511
5.51,0.43597
5.488,0.23907
5.458,0.48079
5.44,0.56778
5.401,0.14396
5.389,0.23889
5.314,0.39237
5.303,0.36023
5.291,0.35327
5.279,0.54854
5.245,0.44012
5.196,0.46074
5.185,0.40212
5.177,0.15718
5.163,0.09511
5.161,0.15111
5.155,0.52259
5.151,0.25646
5.145,0.1977
5.132,0.14622
5.129,0.26228
5.123,0.44727
5.121,0.27668
5.061,0.55954
5.057,0.3913
5.045,0.23553
5.033,0.05822
4.996,0.43408
4.907,0.35972
4.876,0.52168
4.875,0.27854
4.871,0.26755
4.813,0.22544
4.795,0.42662
4.793,0.37012
4.754,0.17744
4.655,0.31866
4.643,0.39778
4.635,0.30685
4.575,0.24856
4.574,0.48614
4.513,0.42736
4.508,0.36703
4.459,0.42483
4.415,0.50817
4.404,0.40285
4.395,0.42692
4.362,0.18847
4.36,0.14037
4.356,0.40576
4.324,0.12859
4.276,0.40973
4.272,0.15602
4.252,0.32461
4.236,0.37938
4.219,0.31056
4.217,0.21219
4.201,0.1268
4.193,0.25429
4.156,0.4143
4.139,0
4.121,0.28098
4.073,0.27544
4.028,0.12072
3.974,0.44089
3.956,0.15412
3.916,0.40663
3.907,0.58852
3.866,0.00589
3.856,0.38041
3.832,0.19662
3.763,0.12807
3.739,0.3337
3.739,0.43653
